#Axion frequency	#gapp(GeV^-1) 
0.01	3.77722987096449e-08
0.0101000903674345	3.91436925848938e-08
0.0102011825430343	3.95804170053261e-08
0.0103032865539342	3.56013084248267e-08
0.0104064125276308	3.65548946195831e-08
0.0105105706929874	3.80242758044299e-08
0.0106157713812481	3.43187297694937e-08
0.0107220250270631	3.25404647578525e-08
0.0108293421695232	2.92347823874119e-08
0.0109377334532053	2.86848985898411e-08
0.0110472096292285	3.31077751923659e-08
0.0111577815563201	3.58011997624365e-08
0.0112694602018927	3.57639845691672e-08
0.0113822566431322	3.76857931654365e-08
0.0114961820680967	3.96290505868077e-08
0.0116112477768257	3.90645473105967e-08
0.0117274651824613	3.98596501311072e-08
0.0118448458123801	4.22975838669246e-08
0.0119634013093367	4.22642804454068e-08
0.0120831434326185	3.92831026422421e-08
0.0122040840592119	3.89975039273304e-08
0.0123262351849807	4.24831355553178e-08
0.0124496089258556	4.20543971264956e-08
0.0125742175190361	3.92101489947435e-08
0.0127000733242043	3.732258487286e-08
0.0128271888247507	4.00682667414293e-08
0.0129555766290128	3.90473648474113e-08
0.0130852494715252	3.65644095291614e-08
0.0132162202142829	3.93190894854385e-08
0.0133485018480172	4.22822157415523e-08
0.013482107493484	3.84795950524616e-08
0.0136170504027654	3.60595413089459e-08
0.0137533439605841	3.78426850065862e-08
0.0138910016856309	3.51356884029744e-08
0.0140300372319057	3.83827575755199e-08
0.0141704643900719	3.88878320943975e-08
0.0143122970888238	3.83997391826143e-08
0.0144555493962691	4.16595748756533e-08
0.0146002355213231	4.25990713365675e-08
0.014746369815119	4.21786488041321e-08
0.014893966772431	4.35321989461727e-08
0.015043041033112	4.37062912650863e-08
0.0151936073835457	3.99536320517947e-08
0.0153456807581132	3.80100588795784e-08
0.0154992762406744	3.7097018148972e-08
0.0156544090660642	3.53397369460616e-08
0.0158110946216034	3.38950660937409e-08
0.0159693484486252	3.29040019249992e-08
0.0161291862440164	3.30176829736242e-08
0.0162906238617748	3.60962963614546e-08
0.016453677314581	3.78414751114145e-08
0.0166183627753875	3.5765892213723e-08
0.0167846965790223	3.31717354981261e-08
0.0169526952238094	3.23439798266318e-08
0.017122375373205	3.01936522747323e-08
0.0172937538574506	2.90012181700556e-08
0.017466847675242	2.82189958933718e-08
0.0176416739954158	2.76730663909134e-08
0.0178182501586518	3.17670603808808e-08
0.0179965936791938	3.19485979177985e-08
0.0181767222465858	2.90429892857809e-08
0.0183586537274273	2.78977133895763e-08
0.0185424061671454	3.03365691091672e-08
0.0187279977917844	3.02354417315901e-08
0.0189154470098136	3.0598681646253e-08
0.0191047724139536	3.03841709019083e-08
0.0192959927830201	2.49955219035151e-08
0.0194891270837867	2.44701067272324e-08
0.0196841944728661	2.57716522224728e-08
0.0198812142986103	2.47742119664803e-08
0.0200802061030294	2.34539272002875e-08
0.0202811896237307	2.23329190373741e-08
0.0204841847958755	2.31518992096088e-08
0.0206892117541571	2.39679529309927e-08
0.0208962908347975	2.32379926386334e-08
0.0211054425775648	2.12933840900887e-08
0.0213166877278104	1.94858004474044e-08
0.0215300472385267	1.96250808758433e-08
0.0217455422724253	2.10311896227301e-08
0.0219631942040363	2.05829821668035e-08
0.022183024621828	2.00601835659693e-08
0.0224050553303488	2.11486524099671e-08
0.0226293083523893	2.04254483652268e-08
0.0228558059311672	1.90622036096391e-08
0.0230845705325334	1.86727647057131e-08
0.0233156248472003	1.80201793361442e-08
0.0235489917929924	1.66979384256609e-08
0.0237846945171197	1.67436821743633e-08
0.0240227563984733	1.74063242008327e-08
0.0242632010499446	1.71339338558675e-08
0.0245060523207672	1.72193490426179e-08
0.0247513342988826	1.69797859006217e-08
0.0249990713133296	1.71948756871909e-08
0.0252492879366568	1.65030193667951e-08
0.0255020089873608	1.41791883314719e-08
0.0257572595323471	1.41560111977717e-08
0.0260150648894169	1.4782098021755e-08
0.0262754506297783	1.42607886910681e-08
0.0265384425805825	1.41650874820025e-08
0.0268040668274855	1.34873740027879e-08
0.0270723497172357	1.24016885999487e-08
0.027343317860287	1.24557611827509e-08
0.0276169981334385	1.26205409201348e-08
0.0278934176824999	1.28045122519989e-08
0.0281726039249844	1.3161234708856e-08
0.0284545845528282	1.26618666689003e-08
0.0287393875351371	1.17515860807496e-08
0.0290270411209606	1.14154749872234e-08
0.0293175738420939	1.11456693102216e-08
0.0296110145159082	1.04531433373412e-08
0.0299073922482088	1.05657444056679e-08
0.0302067364361219	1.09498988266746e-08
0.0305090767710107	1.07143787283484e-08
0.0308144432414205	1.01601534578583e-08
0.0311228661360529	1.00790371685293e-08
0.0314343760467701	1.03508971926925e-08
0.0317490038716297	9.60490789348359e-09
0.0320667808179487	9.25128867554564e-09
