#Axion frequency	#gapp(GeV^-1)
5.52350221969818	2.68897883881721e-08
5.57878715636767	2.69651623614575e-08
5.63462544199964	2.72567488646638e-08
5.6910226150842	2.74096192957314e-08
5.74798426954638	2.74674112751681e-08
5.80551605530105	2.77390846030208e-08
5.86362367881324	2.79676551727116e-08
5.92231290366425	2.80127493265985e-08
5.98158955112323	2.816662117992e-08
6.04145950072466	2.82741864734842e-08
6.10192869085148	2.82566159587421e-08
6.16300311932413	2.83310402381781e-08
6.22468884399544	2.84960719715581e-08
6.28699198335153	2.85858570792577e-08
6.34991871711868	2.86053358789802e-08
6.41347528687624	2.87013408962917e-08
6.47766799667579	2.88057743650741e-08
6.54250321366639	2.88089198605854e-08
6.60798736872612	2.8761413387678e-08
6.67412695709996	2.87997888328812e-08
6.74092853904402	2.89325500276777e-08
6.80839874047629	2.90804869017156e-08
6.87654425363377	2.91031258989354e-08
6.94537183773636	2.91928936464043e-08
7.01488831965718	2.93275714691356e-08
7.08510059459983	2.93973390247664e-08
7.15601562678222	2.94120630816863e-08
7.22764045012739	2.93778636983009e-08
7.29998216896116	2.88883553027163e-08
7.37304795871683	2.84633108061518e-08
7.44684506664684	2.8497691875754e-08
7.52138081254169	2.85388024839156e-08
7.59666258945591	2.86065694443875e-08
7.67269786444136	2.86770842250607e-08
7.74949417928795	2.87880922542723e-08
7.8270591512716	2.88472481082035e-08
7.90540047390983	2.9095473407277e-08
7.98452591772488	2.93118877545747e-08
8.06444333101442	2.93602536058791e-08
8.14516064063002	2.9464545672775e-08
8.22668585276339	2.95942621726513e-08
8.30902705374052	2.9721117260661e-08
8.39219241082373	2.98852359960109e-08
8.47619017302177	3.00457405521473e-08
8.56102867190802	3.02521779679949e-08
8.64671632244688	3.05552850914466e-08
8.73326162382844	3.09389997958958e-08
8.8206731603115	3.1186924825859e-08
8.90895960207502	3.13653799764125e-08
8.9981297060781	3.17672201233099e-08
9.08819231692856	3.18380667536143e-08
9.17915636776024	3.13563884947729e-08
9.27103088111903	3.12904779774823e-08
9.36382496985781	3.18333492017381e-08
9.45754783804036	3.27056093219461e-08
9.55220878185424	3.5266117134642e-08
9.64781719053293	3.82969731758079e-08
9.74438254728706	3.7121630960182e-08
9.8419144302451	3.43877672874052e-08
9.94042251340331	3.37574918585286e-08
10.0399165675854	3.3800564168692e-08
10.1404064614115	3.43532402140294e-08
10.2419021622773	3.51347435281781e-08
10.3444137373424	3.59353862814827e-08
10.4479513545289	3.73897012689865e-08
10.5525252835301	3.90151049347887e-08
10.6581458968292	3.8424184875866e-08
10.7648236707276	3.68539346717419e-08
10.8725691863847	3.74894184219728e-08
10.9813931308669	3.63835090900374e-08
11.091306298208	3.42667618143475e-08
11.2023195904796	3.4464349854924e-08
11.3144440188726	3.46146602938613e-08
11.4276907047892	3.4638950152698e-08
11.5420708809463	3.50192305570447e-08
11.6575958924892	3.55906359776436e-08
11.7742771981174	3.5888176126151e-08
11.8921263712209	3.60150704059959e-08
12.0111551010282	3.6365793465864e-08
12.1313751937657	3.6700743812605e-08
12.2527985738287	3.66530963283669e-08
12.3754372849642	3.74425458655934e-08
12.4993034914657	3.79255556008966e-08
12.6244094793793	3.77720643375154e-08
12.7507676577228	3.73775277577932e-08
12.8783905597161	3.70409086269154e-08
13.0072908440248	3.8012695164585e-08
13.1374812960154	3.87933522754315e-08
