#Axion frequency	#gann(GeV^-1)
0.01	2.8654847296972e-09
0.0101000903674345	2.96952150644022e-09
0.0102011825430343	3.00265232454198e-09
0.0103032865539342	2.70078891498685e-09
0.0104064125276308	2.77312993665803e-09
0.0105105706929874	2.88460023343951e-09
0.0106157713812481	2.60348984458228e-09
0.0107220250270631	2.46858698163019e-09
0.0108293421695232	2.21781107766573e-09
0.0109377334532053	2.17609575509139e-09
0.0110472096292285	2.5116243249381e-09
0.0111577815563201	2.71595308542622e-09
0.0112694602018927	2.71312986386786e-09
0.0113822566431322	2.85892224013656e-09
0.0114961820680967	3.00634176865438e-09
0.0116112477768257	2.9635173821832e-09
0.0117274651824613	3.02383552718744e-09
0.0118448458123801	3.20878222438738e-09
0.0119634013093367	3.20625575792741e-09
0.0120831434326185	2.98009744182526e-09
0.0122040840592119	2.95843133241817e-09
0.0123262351849807	3.22285855936894e-09
0.0124496089258556	3.19033357511346e-09
0.0125742175190361	2.97456302718744e-09
0.0127000733242043	2.83136850759628e-09
0.0128271888247507	3.03966161486705e-09
0.0129555766290128	2.96221388497603e-09
0.0130852494715252	2.77385175738466e-09
0.0132162202142829	2.98282747820568e-09
0.0133485018480172	3.20761636660052e-09
0.013482107493484	2.91914169363502e-09
0.0136170504027654	2.73555140964417e-09
0.0137533439605841	2.87082437980999e-09
0.0138910016856309	2.66546601677737e-09
0.0140300372319057	2.91179540228082e-09
0.0141704643900719	2.95011140026464e-09
0.0143122970888238	2.91308366212936e-09
0.0144555493962691	3.16038154229094e-09
0.0146002355213231	3.23165368760167e-09
0.014746369815119	3.1997595644514e-09
0.014893966772431	3.30244267867517e-09
0.015043041033112	3.31564968217896e-09
0.0151936073835457	3.03096519013615e-09
0.0153456807581132	2.88352170810595e-09
0.0154992762406744	2.81425654923236e-09
0.0156544090660642	2.68094556142536e-09
0.0158110946216034	2.57134984159414e-09
0.0159693484486252	2.4961656632758e-09
0.0161291862440164	2.50478974282666e-09
0.0162906238617748	2.73833972397242e-09
0.016453677314581	2.87073259465903e-09
0.0166183627753875	2.71327458173071e-09
0.0167846965790223	2.51647648606474e-09
0.0169526952238094	2.45368122822724e-09
0.017122375373205	2.29055293118659e-09
0.0172937538574506	2.20009241290077e-09
0.017466847675242	2.14075141260062e-09
0.0176416739954158	2.09933607103481e-09
0.0178182501586518	2.40991492544613e-09
0.0179965936791938	2.42368673859161e-09
0.0181767222465858	2.20326125616269e-09
0.0183586537274273	2.11637825714027e-09
0.0185424061671454	2.30139489793682e-09
0.0187279977917844	2.29372316584477e-09
0.0189154470098136	2.32127929730195e-09
0.0191047724139536	2.30500606842063e-09
0.0192959927830201	1.89621200647356e-09
0.0194891270837867	1.85635292413487e-09
0.0196841944728661	1.95509085825656e-09
0.0198812142986103	1.87942297676747e-09
0.0200802061030294	1.77926344278043e-09
0.0202811896237307	1.69422144421459e-09
0.0204841847958755	1.75635097452205e-09
0.0206892117541571	1.81825849821324e-09
0.0208962908347975	1.76288220017219e-09
0.0211054425775648	1.61536017235156e-09
0.0213166877278104	1.4782331373893e-09
0.0215300472385267	1.48879923885708e-09
0.0217455422724253	1.59546955758642e-09
0.0219631942040363	1.56146761265406e-09
0.022183024621828	1.5218070291425e-09
0.0224050553303488	1.60438052765268e-09
0.0226293083523893	1.54951677253445e-09
0.0228558059311672	1.44609820486917e-09
0.0230845705325334	1.41655456388168e-09
0.0233156248472003	1.36704808756956e-09
0.0235489917929924	1.26674015642945e-09
0.0237846945171197	1.27021037184825e-09
0.0240227563984733	1.32047976695972e-09
0.0242632010499446	1.29981567182443e-09
0.0245060523207672	1.30629544461239e-09
0.0247513342988826	1.28812168901268e-09
