#Axion frequency	#gann(GeV^-1)
5.52350221969818	2.03991498117168e-09
5.57878715636767	2.04563300673126e-09
5.63462544199964	2.06775336214691e-09
5.6910226150842	2.07935042933135e-09
5.74798426954638	2.08373464846103e-09
5.80551605530105	2.10434434919468e-09
5.86362367881324	2.12168418551605e-09
5.92231290366425	2.12510512132816e-09
5.98158955112323	2.13677815847669e-09
6.04145950072466	2.14493828419535e-09
6.10192869085148	2.14360534859423e-09
6.16300311932413	2.14925132841351e-09
6.22468884399544	2.16177097715268e-09
6.28699198335153	2.16858226118507e-09
6.34991871711868	2.17005996323298e-09
6.41347528687624	2.1773431024773e-09
6.47766799667579	2.18526564148838e-09
6.54250321366639	2.18550426528579e-09
6.60798736872612	2.18190032596178e-09
6.67412695709996	2.18481156663237e-09
6.74092853904402	2.19488310554796e-09
6.80839874047629	2.20610590288877e-09
6.87654425363377	2.20782334405717e-09
6.94537183773636	2.21463331110653e-09
7.01488831965718	2.2248502493827e-09
7.08510059459983	2.23014296049952e-09
7.15601562678222	2.23125995792103e-09
7.22764045012739	2.22866552194007e-09
7.29998216896116	2.19153040227503e-09
7.37304795871683	2.15928564736324e-09
7.44684506664684	2.16189386643651e-09
7.52138081254169	2.16501260222808e-09
7.59666258945591	2.17015354405698e-09
7.67269786444136	2.1755029412115e-09
7.74949417928795	2.18392423997928e-09
7.8270591512716	2.18841192544992e-09
7.90540047390983	2.20724281020722e-09
7.98452591772488	2.22366045034705e-09
8.06444333101442	2.22732958389428e-09
8.14516064063002	2.23524139586569e-09
8.22668585276339	2.24508195792527e-09
8.30902705374052	2.25470544736049e-09
8.39219241082373	2.26715583418014e-09
8.47619017302177	2.27933204188704e-09
8.56102867190802	2.29499281136513e-09
8.64671632244688	2.31798714486836e-09
8.73326162382844	2.34709653624037e-09
8.8206731603115	2.36590464196172e-09
8.90895960207502	2.37944261890026e-09
8.9981297060781	2.4099270438373e-09
9.08819231692856	2.41530161579143e-09
9.17915636776024	2.37876050650001e-09
9.27103088111903	2.37376039829176e-09
9.36382496985781	2.41494373254565e-09
9.45754783804036	2.48111518994074e-09
9.55220878185424	2.67536061021422e-09
9.64781719053293	2.9052876202337e-09
9.74438254728706	2.81612372801381e-09
9.8419144302451	2.60872717352729e-09
9.94042251340331	2.56091317547458e-09
10.0399165675854	2.5641807300387e-09
10.1404064614115	2.60610787830568e-09
10.2419021622773	2.66539433662041e-09
10.3444137373424	2.72613275238834e-09
10.4479513545289	2.83646009626794e-09
10.5525252835301	2.95976658125983e-09
10.6581458968292	2.91493816299673e-09
10.7648236707276	2.79581573371835e-09
10.8725691863847	2.84402484580483e-09
10.9813931308669	2.76012827579594e-09
11.091306298208	2.59954744798498e-09
11.2023195904796	2.61453688554596e-09
11.3144440188726	2.62593974643086e-09
11.4276907047892	2.62778242537709e-09
11.5420708809463	2.65663128363787e-09
11.6575958924892	2.69997928106262e-09
11.7742771981174	2.7225512923287e-09
11.8921263712209	2.73217775493762e-09
12.0111551010282	2.75878433189313e-09
12.1313751937657	2.78419435819762e-09
12.2527985738287	2.78057972146232e-09
12.3754372849642	2.84046899670019e-09
12.4993034914657	2.87711111455078e-09
